PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
J	Durosier, LD; Xu, A; Matushewski, B; Cao, MJ; Herry, C; Batkin, I; Seely, AJE; Ross, MG; Richardson, BS; Frasch, MG				Durosier, Lucien Daniel; Xu, Alex; Matushewski, Brad; Cao, Mingju; Herry, Christophe; Batkin, Izmail; Seely, Andrew J. E.; Ross, Michael G.; Richardson, Bryan S.; Frasch, Martin G.			Neural signature of cerebral activity of the fetal cholinergic anti-inflammatory pathway derived from heart rate variability	FASEB JOURNAL			English	Meeting Abstract	Joint Annual Meeting of the ASPET/BPS at Experimental Biology (EB)	APR 20-24, 2013	Boston, MA	ASPET, British Pharmacol Soc (BPS)					[Durosier, Lucien Daniel; Cao, Mingju] Univ Montreal, CHU Ste Justine Res Ctr, Montreal, PQ, Canada; [Xu, Alex; Matushewski, Brad] Univ Western Ontario, OBGYN, CHRI, London, ON, Canada; [Herry, Christophe; Batkin, Izmail; Seely, Andrew J. E.] U Ottawa, OHRI, Ottawa, ON, Canada; [Ross, Michael G.] Univ Calif Los Angeles, Geffen Sch Med, Dept OBGYN, Torance, CA USA; [Richardson, Bryan S.] Western Univ, OBGYN, CHRI, London, PQ, Canada; [Frasch, Martin G.] U Montreal, OBGYN, CHU Ste Justine Res Ctr, Montreal, PQ, Canada			Frasch, Martin/B-3539-2014	Frasch, Martin/0000-0003-3159-6321				0	0	0	0	1	FEDERATION AMER SOC EXP BIOL	BETHESDA	9650 ROCKVILLE PIKE, BETHESDA, MD 20814-3998 USA	0892-6638			FASEB J	Faseb J.	APR	2013	27					926.11						1	Biochemistry & Molecular Biology; Biology; Cell Biology	Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics; Cell Biology	156YK	WOS:000319860505347		No			2017-07-26	
J	Sokolowski, JD; Heffron, DS; Deppmann, C; LeBlanc, AC; Mandell, JW				Sokolowski, Jennifer D.; Heffron, Dan S.; Deppmann, Christopher; LeBlanc, Andrea C.; Mandell, James W.			Caspase-generated neoepitopes as markers of axonal degeneration in neural development and injury	FASEB JOURNAL			English	Meeting Abstract	Joint Annual Meeting of the ASPET/BPS at Experimental Biology (EB)	APR 20-24, 2013	Boston, MA	ASPET, British Pharmacol Soc (BPS)					[Sokolowski, Jennifer D.; Heffron, Dan S.; Deppmann, Christopher; Mandell, James W.] Univ Virginia, Charlottesville, VA USA; [LeBlanc, Andrea C.] McGill Univ, Montreal, PQ, Canada								0	0	0	0	0	FEDERATION AMER SOC EXP BIOL	BETHESDA	9650 ROCKVILLE PIKE, BETHESDA, MD 20814-3998 USA	0892-6638			FASEB J	Faseb J.	APR	2013	27					1086.8						1	Biochemistry & Molecular Biology; Biology; Cell Biology	Biochemistry & Molecular Biology; Life Sciences & Biomedicine - Other Topics; Cell Biology	156YK	WOS:000319860504183		No			2017-07-26	
J	Gelinas, C; Klein, K; Naidech, AM; Skrobik, Y				Gelinas, Celine; Klein, Kate; Naidech, Andrew M.; Skrobik, Yoanna			Pain, Sedation, and Delirium Management in the Neurocritically Ill: Lessons Learned from Recent Research	SEMINARS IN RESPIRATORY AND CRITICAL CARE MEDICINE			English	Review						pain; sedation; delirium; neuro; intensive care unit	INTENSIVE-CARE-UNIT; MECHANICALLY VENTILATED PATIENTS; PERSISTENT VEGETATIVE STATE; MINIMALLY CONSCIOUS STATE; CRITICALLY-ILL; POSTOPERATIVE PAIN; NEUROSURGICAL PATIENTS; INTRACRANIAL SURGERY; OBSERVATION TOOL; CARDIAC-SURGERY	Critically ill patients with a primary neurological injury or illness pose unique challenges for pain, agitation, and delirium management in intensive care units (ICUs). Detection and monitoring can be limited by contextual level of consciousness (LOC) alterations, cognition, expression, or language deficits. Recent data suggest that existing pain assessment tools may not be applicable to all neurocritically ill patients, especially in those with LOC alterations and atypical pain-associated behaviors. Targeted sedation goals may be neurologically disease specific; for instance, intracranial pressure (ICP) targets will supersede sedation titration by other criteria. Technology such as bispectral index (BIS) may be beneficial in avoiding excessive medication administration in deeply sedated neurologically injured ICU patients. Given the wide variety of pathology in the neurocritically ill patients, it is unclear if delirium can be diagnosed and unequivocally differentiated from symptoms of the underlying neurological pathology. However, delirium symptoms may herald life-threatening primary insult progression or result from a new secondary neurological injury and should be monitored. Patients with neurological injury or illness are often excluded from ICU studies addressing pain, sedation, and delirium, but this need not be the case. We review what is understood in this area based on current evidence.	[Gelinas, Celine] McGill Univ, Fac Med, Ingram Sch Nursing, Montreal, PQ, Canada; [Gelinas, Celine] McGill Univ, Jewish Gen Hosp, Ctr Nursing Res, Montreal, PQ H3T 1E2, Canada; [Gelinas, Celine] McGill Univ, Jewish Gen Hosp, Lady Davis Inst, Montreal, PQ H3T 1E2, Canada; [Klein, Kate] Cleveland Clin, Dept Neurocrit Care, Cleveland, OH 44106 USA; [Naidech, Andrew M.] Northwestern Univ, Dept Neurol Anesthesiol & Neurol Surg, Chicago, IL 60611 USA; [Skrobik, Yoanna] Univ Montreal, Dept Med, Montreal, PQ H3C 3J7, Canada; [Skrobik, Yoanna] Hop Maison Neuve Rosemont, Intens Care Unit, Montreal, PQ H1T 2M4, Canada	Skrobik, Y (reprint author), Hop Maison Neuve Rosemont, Intens Care Unit, 5415 Blvd Assompt, Montreal, PQ H1T 2M4, Canada.	yoanna.skrobik@umontreal.ca						70	8	8	0	12	THIEME MEDICAL PUBL INC	NEW YORK	333 SEVENTH AVE, NEW YORK, NY 10001 USA	1069-3424			SEMIN RESP CRIT CARE	Semin. Respir. Crit. Care Med.	APR	2013	34	2					236	243		10.1055/s-0033-1342986		8	Critical Care Medicine; Respiratory System	General & Internal Medicine; Respiratory System	151ZE	WOS:000319498100009	23716314	No			2017-07-26	
J	Postuma, RB; Gagnon, JF; Pelletier, A; Montplaisir, J				Postuma, Ronald B.; Gagnon, Jean-Francois; Pelletier, Amelie; Montplaisir, Jacques			Prodromal autonomic symptoms and signs in Parkinson's disease and dementia with Lewy bodies	MOVEMENT DISORDERS			English	Article						Parkinson's disease; autonomic dysfunction; dementia with Lewy bodies; prodromal; rapid eye movement (REM) sleep behavior disorder	SLEEP BEHAVIOR DISORDER; NEURODEGENERATIVE DISORDER; FREQUENCY; PATHOLOGY; RISK	Pathologic staging systems suggest that autonomic dysfunction may be an early manifestation of Parkinson's disease and dementia with Lewy bodies. However, direct evidence is limited, and no prospective studies have measured when autonomic dysfunction starts before disease. Patients with idiopathic rapid eye movement (REM) sleep behavior disorder are at very high risk of developing neurodegenerative synucleinopathy, providing an opportunity to directly observe the development of autonomic dysfunction from prodromal stages of neurodegeneration. Patients with idiopathic REM sleep behavior disorder were followed annually in a prospective cohort that was established in 2004. Urinary, orthostatic, erectile, and constipation symptoms and systolic blood pressure drop from lying to standing were assessed annually. Patients who eventually developed defined synucleinopathy were compared with age-matched controls. The evolution of autonomic measures was assessed with regression analysis to determine when markers first deviated from control values. Sensitivity and specificity of autonomic markers for identification of prodromal disease were calculated. Of 91 patients, 32 developed disease. In prodromal stages, there was substantial autonomic dysfunction observable at least 5 years before diagnosis. On regression analysis, autonomic dysfunction appeared to progress slowly over prodromal periods. The estimated onset of autonomic dysfunction ranged from 11 years to 20 years, and systolic drop (20.4 years) and constipation (15.3 years) had the earliest estimates. Systolic drop, erectile dysfunction, and constipation could identify disease up to 5 years before diagnosis with sensitivity ranging from 50% to 90%. By directly observing development of neurodegenerative synucleinopathy, we confirmed that autonomic dysfunction can occur early in neurodegenerative synucleinopathy, even as long as 20 years before defined disease. (c) 2013 Movement Disorder Society	[Postuma, Ronald B.; Pelletier, Amelie] McGill Univ, Montreal Gen Hosp, Dept Neurol, Montreal, PQ H3G 1A4, Canada; [Postuma, Ronald B.; Gagnon, Jean-Francois; Montplaisir, Jacques] Hop Sacre Coeur, Ctr Etud Avancees Med Sommeil, Montreal, PQ H4J 1C5, Canada; [Gagnon, Jean-Francois] Univ Quebec, Dept Psychol, Montreal, PQ H3C 3P8, Canada; [Pelletier, Amelie] McGill Univ, Res Inst, Ctr Hlth, Neuroepidemiol Res Unit, Montreal, PQ, Canada; [Montplaisir, Jacques] Univ Montreal, Dept Psychiat, Montreal, PQ H3C 3J7, Canada	Montplaisir, J (reprint author), Hop Sacre Coeur, Ctr Etud Avancees Med Sommeil, 5400 Blvd Gouin Ouest, Montreal, PQ H4J 1C5, Canada.	JY.Montplaisir@UMontreal.CA			Canadian Institutes of Health Research; Fonds de la Recherche en Sante du Quebec	This study was funded by the Canadian Institutes of Health Research and the Fonds de la Recherche en Sante du Quebec.		27	37	40	0	18	WILEY-BLACKWELL	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0885-3185			MOVEMENT DISORD	Mov. Disord.	APR	2013	28	5					597	604		10.1002/mds.25445		8	Clinical Neurology	Neurosciences & Neurology	144QG	WOS:000318953900013	23554107	No			2017-07-26	
J	Lescot, T; Karvellas, CJ; Chaudhury, P; Tchervenkov, J; Paraskevas, S; Barkun, J; Metrakos, P; Goldberg, P; Magder, S				Lescot, Thomas; Karvellas, Constantine J.; Chaudhury, Prosanto; Tchervenkov, Jean; Paraskevas, Steven; Barkun, Jeffrey; Metrakos, Peter; Goldberg, Peter; Magder, Sheldon			Postoperative delirium in the intensive care unit predicts worse outcomes in liver transplant recipients	CANADIAN JOURNAL OF GASTROENTEROLOGY			English	Article						Delirium; Intensive care unit; Liver transplantation; Neurological complication	MECHANICALLY VENTILATED PATIENTS; HEPATIC-ENCEPHALOPATHY; NEUROLOGICAL COMPLICATIONS; NONCARDIAC SURGERY; CARDIAC-SURGERY; MORTALITY; SURVIVAL; DISEASE; DEXMEDETOMIDINE; HALOPERIDOL	BACKGROUND: Delirium is common in intensive care unit patients and is associated with worse outcome. OBJECTIVE: To identify early risk factors for delirium in patients admitted to the intensive care unit following orthotopic liver transplantation (OLT). METHODS: An observational study of patients admitted to the intensive care unit from January 2000 to May 2010 for elective or semi-elective OLT was conducted. The primary end point was delirium in the intensive care unit. Pre- and post-transplantation and intraoperative factors potentially associated with this outcome were examined. RESULTS: Of the 281 patients included in the study, 28 (10.03%) developed delirium in the intensive care unit at a median of two days (interquartile range one to seven days) after OLT. According to multivariate analysis, independent risk factors for delirium were intraoperative transfusion of packed red blood cells (OR 1.15 [95% CI 1.01 to 1.18]), renal replacement therapy during the pretransplantation period (OR 13.12 [95% CI 2.82 to 72.12]) and Acute Physiologic and Health Evaluation (APACHE) II score (OR per unit increase 1.10 [95% CI 1.03 to 1.29]). Using Cox proportional hazards models adjusted for baseline covariates, delirium was associated with an almost twofold risk of remaining in hospital, a fourfold increased risk of dying in hospital and an almost threefold increased rate of death by one year. CONCLUSION: Intraoperative transfusion of packed red blood cells, pretransplantation renal replacement therapy and APACHE II score are predictors for the development of delirium in intensive care unit patients post-OLT and are associated with increased hospital lengths of stay and mortality.	[Lescot, Thomas; Goldberg, Peter; Magder, Sheldon] McGill Univ, Royal Victoria Hosp, Ctr Hlth, Crit Care Div, Montreal, PQ H3A 1A1, Canada; [Karvellas, Constantine J.] Univ Alberta, Div Gastroenterol, Liver Unit, Edmonton, AB, Canada; [Karvellas, Constantine J.] Univ Alberta, Edmonton, AB, Canada; [Chaudhury, Prosanto; Tchervenkov, Jean; Paraskevas, Steven; Barkun, Jeffrey; Metrakos, Peter] McGill Univ, Dept Surg, Ctr Hlth, Montreal, PQ H3A 2T5, Canada; [Chaudhury, Prosanto; Tchervenkov, Jean; Paraskevas, Steven; Barkun, Jeffrey; Metrakos, Peter] McGill Univ, Ctr Hlth, Victoria Hosp, Multiorgan Transplant Program, Montreal, PQ, Canada	Lescot, T (reprint author), Hop St Antoine, Dept Anesthesie Reanimat, 184 Rue Faubourg St Antoine, F-75012 Paris, France.	thomas.lescot@sat.aphp.fr			La Fondation des Gueules Cassees (Paris, France); Assistance Publique-Hopitaux de Paris (AP-HP; Paris, France)	Thomas Lescot received research fellowship grants from La Fondation des Gueules Cassees (Paris, France) and the Assistance Publique-Hopitaux de Paris (AP-HP; Paris, France). This work was performed at Royal Victoria Hospital - McGill University Health Centre, Montreal, Quebec, and should be attributed to this institution.		46	14	14	1	4	PULSUS GROUP INC	OAKVILLE	2902 S SHERIDAN WAY, OAKVILLE, ONTARIO L6J 7L6, CANADA	0835-7900			CAN J GASTROENTEROL	Can. J. Gastroenterol.	APR	2013	27	4					207	212				6	Gastroenterology & Hepatology	Gastroenterology & Hepatology	143VO	WOS:000318896600004	23616958	gold			2017-07-26	
J	Sawan, M; Salam, MT; Le Lan, J; Kassab, A; Gelinas, S; Vannasing, P; Lesage, F; Lassonde, M; Nguyen, DK				Sawan, Mohamad; Salam, Muhammad T.; Le Lan, Jerome; Kassab, Amal; Gelinas, Sebastien; Vannasing, Phetsamone; Lesage, Frederic; Lassonde, Maryse; Nguyen, Dang K.			Wireless Recording Systems: From Noninvasive EEG-NIRS to Invasive EEG Devices	IEEE TRANSACTIONS ON BIOMEDICAL CIRCUITS AND SYSTEMS			English	Article						Bluetooth and dual radio links; brain imaging; electroencephalography (EEG); embedded systems; intracerebral EEG; near-infrared spectrometry; refractory epilepsy; wearable bioelectronics; wireless data recording	POWER INTEGRATED-CIRCUIT; TRANSMISSION-SYSTEM; PARTIAL EPILEPSY; INTERFACE	In this paper, we present the design and implementation of a wireless wearable electronic system dedicated to remote data recording for brain monitoring. The reported wireless recording system is used for a) simultaneous near-infrared spectrometry (NIRS) and scalp electro-encephalography (EEG) for noninvasive monitoring and b) intracerebral EEG (icEEG) for invasive monitoring. Bluetooth and dual radio links were introduced for these recordings. The Bluetooth-based device was embedded in a noninvasive multichannel EEG-NIRS system for easy portability and long-term monitoring. On the other hand, the 32-channel implantable recording device offers 24-bit resolution, tunable features, and a sampling frequency up to 2 kHz per channel. The analog front-end preamplifier presents low input-referred noise of 5 mu V-RMS and a signal-to-noise ratio of 112 dB. The communication link is implemented using a dual-band radio frequency transceiver offering a half-duplex 800 kb/s data rate, 16.5 mW power consumption and less than 10(-10) post-correction Bit-Error Rate (BER). The designed system can be accessed and controlled by a computer with a user-friendly graphical interface. The proposed wireless implantable recording device was tested in vitro using real icEEG signals from two patients with refractory epilepsy. The wirelessly recorded signals were compared to the original signals recorded using wired-connection, and measured normalized root-mean square deviation was under 2%.	[Sawan, Mohamad; Salam, Muhammad T.; Le Lan, Jerome; Kassab, Amal; Gelinas, Sebastien] Polytech Montreal, Polystim Neurotechnol Lab, Dept Elect Engn, Montreal, PQ H3T 1J4, Canada; [Vannasing, Phetsamone; Lassonde, Maryse] Ctr Hosp Univ Mere Enfant, St Justine Hosp, Montreal, PQ H3T 1C5, Canada; [Lesage, Frederic] Polytech Montreal, Opt & Mol Imaging Lab, Montreal, PQ H3C 3A7, Canada; [Nguyen, Dang K.] Ctr Hosp Univ Montreal, Dept Med, Neurol Serv, Notre Dame Hosp, Montreal, PQ H3T 1J4, Canada	Sawan, M (reprint author), Polytech Montreal, Polystim Neurotechnol Lab, Dept Elect Engn, Montreal, PQ H3T 1J4, Canada.	mo-hamad.sawan@polymtl.ca			Canadian Institutes of Health Research (CIHR); Institute of Circulatory and Respiratory Health (ICRH); Heart and Stroke Foundation of Canada (HSFC); Canada Research Chair on Smart Medical Devices; ReSMiQ	This work was supported in part by the Canadian Institutes of Health Research (CIHR), the Institute of Circulatory and Respiratory Health (ICRH), the Heart and Stroke Foundation of Canada (HSFC), the Canada Research Chair on Smart Medical Devices, and ReSMiQ. This paper was recommended by Associate Editor S. Carrara.		33	15	15	1	26	IEEE-INST ELECTRICAL ELECTRONICS ENGINEERS INC	PISCATAWAY	445 HOES LANE, PISCATAWAY, NJ 08855-4141 USA	1932-4545			IEEE T BIOMED CIRC S	IEEE Trans. Biomed. Circuits Syst.	APR	2013	7	2					186	195		10.1109/TBCAS.2013.2255595		10	Engineering, Biomedical; Engineering, Electrical & Electronic	Engineering	142KW	WOS:000318797100010	23853301	No			2017-07-26	
J	Vaccaro, A; Parker, JA				Vaccaro, Alexandra; Parker, J. Alex			Stress-induced propagation of neurodegeneration by wild-type proteins in simple models of ALS	M S-MEDECINE SCIENCES			French	News Item							TDP-43		[Vaccaro, Alexandra; Parker, J. Alex] Univ Montreal, Dept Pathol & Biol Cellulaire, CRCHUM, Montreal, PQ H2L 4M1, Canada	Vaccaro, A (reprint author), Univ Montreal, Dept Pathol & Biol Cellulaire, CRCHUM, 1560 Rue Sherbrooke Est, Montreal, PQ H2L 4M1, Canada.	alexandra.vaccaro@espci.fr; ja.parker@umontreal.ca	Parker, Alex/F-4953-2014	Parker, Alex/0000-0002-3333-2445; Vaccaro, Alexandra/0000-0002-3183-7343				9	0	0	0	2	EDP SCIENCES S A	LES ULIS CEDEX A	17, AVE DU HOGGAR, PA COURTABOEUF, BP 112, F-91944 LES ULIS CEDEX A, FRANCE	0767-0974			M S-MED SCI	M S-Med. Sci.	APR	2013	29	4					343	345		10.1051/medsci/2013294003		3	Medicine, Research & Experimental	Research & Experimental Medicine	140PV	WOS:000318668300003	23621925	No			2017-07-26	
J	D'Asti, E; Huang, A; Korshunov, A; Pfister, S; Rak, J				D'Asti, Esterina; Huang, Annie; Korshunov, Andrey; Pfister, Stephen; Rak, Janusz			DEREGULATION OF TISSUE FACTOR BY A PUTATIVE ONCOGENIC microRNA, miR-520g, IN EMBRYONAL BRAIN TUMOUR CELLS	NEURO-ONCOLOGY			English	Meeting Abstract	2nd Annual Pediatric Neuro-Oncology Basic and Translational Research Conference	MAY 16-17, 2013	Fort Lauderdale, FL						[D'Asti, Esterina; Rak, Janusz] Montreal Childrens Hosp, Res Inst, Montreal, PQ H3H 1P3, Canada; [Huang, Annie] Hosp Sick Children, Toronto, ON M5G 1X8, Canada; [Korshunov, Andrey; Pfister, Stephen] German Canc Res Ctr, Heidelberg, Germany			Pfister, Stefan/F-6860-2013	Pfister, Stefan/0000-0002-5447-5322				0	0	0	0	0	OXFORD UNIV PRESS INC	CARY	JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA	1522-8517			NEURO-ONCOLOGY	Neuro-Oncology	APR	2013	15			1		0015	3	3				1	Oncology; Clinical Neurology	Oncology; Neurosciences & Neurology	139GR	WOS:000318570500013		No			2017-07-26	
J	Charbonneau, G; Bertone, A; Lepore, F; Nassim, M; Lassonde, M; Mottron, L; Collignon, O				Charbonneau, Genevieve; Bertone, Armando; Lepore, Franco; Nassim, Marouane; Lassonde, Maryse; Mottron, Laurent; Collignon, Olivier			Multilevel alterations in the processing of audio-visual emotion expressions in autism spectrum disorders	NEUROPSYCHOLOGIA			English	Article						Autism spectrum disorder; Multisensory; Emotion expressions; Audition; Vision	HIGH-FUNCTIONING AUTISM; PERVASIVE DEVELOPMENTAL DISORDERS; FUSIFORM FACE AREA; ASPERGERS-SYNDROME; FACIAL EXPRESSIONS; MULTISENSORY INTEGRATION; NEURAL CIRCUITRY; CHILDS APPRAISAL; DECISION-MAKING; SOCIAL-BEHAVIOR	The abilities to recognize and integrate emotions from another person's facial and vocal expressions are fundamental cognitive skills involved in the effective regulation of social interactions. Deficits in such abilities have been suggested as a possible source for certain atypical social behaviors manifested by persons with autism spectrum disorders (ASD). In the present study, we assessed the recognition and integration of emotional expressions in ASD using a validated set of ecological stimuli comprised of dynamic visual and auditory (non-verbal) vocal clips. Autistic participants and typically developing controls (TD) were asked to discriminate between clips depicting expressions of disgust and fear presented either visually, auditorily or audio-visually. The group of autistic participants was less efficient to discriminate emotional expressions across all conditions (unimodal and bimodal). Moreover, they necessitated a higher signal-to-noise ratio for the discrimination of visual or auditory presentations of disgust versus fear expressions. These results suggest an altered sensitivity to emotion expressions in this population that is not modality-specific. In addition, the group of autistic participants benefited from exposure to bimodal information to a lesser extent than did the TD group, indicative of a decreased multisensory gain in this population. These results are the first to compellingly demonstrate joint alterations for both the perception and the integration of multisensory emotion expressions in ASD. (C) 2013 Elsevier Ltd. All rights reserved.	[Charbonneau, Genevieve; Lepore, Franco; Lassonde, Maryse; Collignon, Olivier] Univ Montreal, Dept Psychol, Ctr Rech Neuropsychol & Cognit CERNEC, Montreal, PQ H3C 3J7, Canada; [Bertone, Armando] McGill Univ, Dept Educ & Counseling Psychol, Sch Appl Child Psychol, Montreal, PQ H3A 1Y2, Canada; [Bertone, Armando; Nassim, Marouane; Mottron, Laurent] Hop Riviere Des Prairies, CETEDUM, Montreal, PQ H1E 1A4, Canada; [Lepore, Franco; Lassonde, Maryse; Collignon, Olivier] Ctr Rech CHU St Justine, Montreal, PQ H3T 1C5, Canada; [Collignon, Olivier] Univ Trent, CIMeC, Ctr Mind Brain Sci, Mattarello, TN, Italy	Collignon, O (reprint author), Univ Trent, CIMeC, Ctr Mind Brain Sci, Via Regale 101, Mattarello, TN, Italy.	genevieve.charbonneau.1@umontreal.ca; armando.bertone@mcgill.ca; franco.lepore@umontreal.ca; marouane.nassim.hrdp@ssss.gouv.qc.ca; maryse.lassonde@umontreal.ca; mottronl@istar.ca; olivier.collignon@unitn.it			Canada Research Chair Program; Canadian Institutes of Health Research; Natural Sciences and Engineering Research Council of Canada; research centre of the University Hospital Sainte-Justine	This research was supported in part by the Canada Research Chair Program (ML, FL), the Canadian Institutes of Health Research (AB, ML, FL, GC), the Natural Sciences and Engineering Research Council of Canada (ML, FL) and the research centre of the University Hospital Sainte-Justine (OC). The authors would like to thank Patricia Jelenic for her help with participant recruitment and selection.		136	14	17	14	45	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0028-3932			NEUROPSYCHOLOGIA	Neuropsychologia	APR	2013	51	5					1002	1010		10.1016/j.neuropsychologia.2013.02.009		9	Behavioral Sciences; Neurosciences; Psychology, Experimental	Behavioral Sciences; Neurosciences & Neurology; Psychology	140QK	WOS:000318669800024	23462241	No			2017-07-26	
J	Ansado, J; Monchi, O; Ennabil, N; Deslauriers, J; Jubault, T; Faure, S; Joanette, Y				Ansado, Jennyfer; Monchi, Oury; Ennabil, Nourane; Deslauriers, Johnathan; Jubault, Thomas; Faure, Sylvane; Joanette, Yves			Coping with task demand in aging using neural compensation and neural reserve triggers primarily intra-hemispheric-based neurofunctional reorganization	NEUROSCIENCE RESEARCH			English	Article						Aging; Selective attention; Neural reserve; Neural compensation; Adaptive neural response	AGE-RELATED-CHANGES; WORKING-MEMORY CAPACITY; CEREBRAL-BLOOD-FLOW; VISUAL-ATTENTION; SELECTIVE ATTENTION; COGNITIVE RESERVE; OLDER-ADULTS; FUNCTIONAL NEUROANATOMY; PREFRONTAL FUNCTION; BRAIN ACTIVITY	It has been proposed that cognitive reserve is supported by two neural mechanisms: neural compensation and neural reserve. The purpose of this study was to test how these neural mechanisms are solicited in aging in the context of visual selective attention processing and whether they are interor intra-hemispheric. Younger and older participants were scanned using fMRI during a visual letter-matching task with two attentional load levels. The results show that in the low-load condition, the older participants activated frontal superior gyri bilaterally; these regions were not activated in the younger participants, in accordance with the compensation mechanism and the Posterior-Anterior Shift in Aging (PASA) phenomenon. However, when task demand increased, the older participants recruited the same regions (parietal) as the younger ones, showing the involvement of a similar neural reserve mechanism. This result suggests that successful cognitive aging relies on the concurrent use of both neural compensation and neural reserve in high-demand tasks, calling on the frontoparietal network. In addition, the finding of intra-hemispheric-based neurofunctional reorganization with a PASA phenomenon for all attentional load levels suggests that the PASA phenomenon is a function more of compensation than of reserve. (C) 2013 Elsevier Ireland Ltd and the Japan Neuroscience Society. All rights reserved.	[Ansado, Jennyfer; Ennabil, Nourane; Joanette, Yves] Univ Montreal, Fac Med, Montreal, PQ H3C 3J7, Canada; [Ansado, Jennyfer; Monchi, Oury; Ennabil, Nourane; Deslauriers, Johnathan; Jubault, Thomas; Joanette, Yves] Inst Univ Geriatrie Montreal, Ctr Rech, Montreal, PQ H3W 1W5, Canada; [Ansado, Jennyfer; Faure, Sylvane] Univ Nice Sophia Antipolis, Dept Psychol, Sophia Antipolis, France; [Monchi, Oury] Univ Montreal, Dept Radiol, Montreal, PQ, Canada	Ansado, J (reprint author), Inst Univ Geriatrie Montreal, Ctr Rech, 4565 Queen Mary Rd, Montreal, PQ H3W 1W5, Canada.	jennyfer.ansado@umontreal.ca						58	6	6	1	13	ELSEVIER IRELAND LTD	CLARE	ELSEVIER HOUSE, BROOKVALE PLAZA, EAST PARK SHANNON, CO, CLARE, 00000, IRELAND	0168-0102			NEUROSCI RES	Neurosci. Res.	APR	2013	75	4					295	304		10.1016/j.neures.2013.01.012		10	Neurosciences	Neurosciences & Neurology	136TV	WOS:000318387200005	23453977	No			2017-07-26	
